id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
0,Grave Encounters,Horror,NR,2011,-15.0,bad
1,Keeping Up With The Joneses,Comedy,PG-13,2016,18.0,best
2,Division 19,Drama,NR,2019,61.0,best
3,Water for Elephants,Drama,PG-13,2011,10.0,good
4,Michael H. Profession: Director,Documentary,NR,2013,-26.0,worst
5,Tumhari Sulu,Art House & International,NR,2017,-17.0,bad
6,Nuts,Drama,R,1987,37.0,best
7,Strange Nature,Mystery & Suspense,NR,2018,15.0,good
8,Death by China,Documentary,NR,2012,39.0,best
9,Styx,Drama,NR,2019,-26.0,worst
10,Mrs. Palfrey at the Claremont,Comedy,G,2005,12.0,good
11,Pickpocket,Art House & International,NR,1959,-11.0,bad
12,El Topo,Art House & International,NR,1970,6.0,good
13,Yol (The Way),Art House & International,PG,1982,22.0,best
14,Bad Boys II,Action & Adventure,R,2003,55.0,best
15,Kaleidoscope,Drama,NR,2017,-24.0,worst
16,Hwal (The Bow),Art House & International,NR,2007,-8.0,bad
17,Felicia's Journey,Drama,PG-13,1999,-17.0,bad
18,The Final Season,Art House & International,PG,2007,42.0,best
19,Come See the Paradise,Drama,R,1990,10.0,good
20,The Red Tent,Action & Adventure,G,1971,-22.0,worst
21,Black Rose,Action & Adventure,NR,2017,4.0,good
22,Stealing Home,Drama,PG-13,1988,58.0,best
23,Visiting Hours,Horror,R,1982,9.0,good
24,Tokyo-Ga,Art House & International,NR,2003,18.0,best
25,Fissures (Écoute le temps),Art House & International,NR,2006,-35.0,worst
26,Run the Race,Drama,PG,2019,44.0,best
27,Lord Jim,Action & Adventure,NR,1965,0.0,okay
28,Forget Paris,Comedy,PG-13,1995,6.0,good
29,Mystic India,Art House & International,NR,2003,-10.0,bad
30,Eddie and the Cruisers,Cult Movies,PG,1983,35.0,best
31,Red Cliff (Chi Bi),Action & Adventure,R,2009,-13.0,bad
32,Eyes Without a Face,Art House & International,NR,1962,-11.0,bad
33,Innocent Voices (Voces inocentes),Art House & International,R,2005,22.0,best
34,The Clan of the Cave Bear,Action & Adventure,R,1986,37.0,best
35,War (Rogue Assassin),Action & Adventure,R,2007,37.0,best
36,Johnny Got His Gun,Classics,PG,1971,20.0,best
37,Smoke Signals,Comedy,PG-13,1998,-1.0,okay
38,The Gates,Documentary,NR,2008,-23.0,worst
39,Fast Girls,Art House & International,G,2012,-24.0,worst
40,Ghostbox Cowboy,Comedy,NR,2018,-41.0,worst
41,Blame It on Fidel (La Faute a Fidel),Drama,NR,2006,-2.0,okay
42,Mubarakan,Comedy,PG-13,2017,20.0,best
43,Priceless,Drama,PG-13,2016,37.0,best
44,Lola,Art House & International,PG,1961,-20.0,worst
45,The Amazing Transparent Man,Classics,NR,1960,-24.0,worst
46,Fanney Khan,Drama,NR,2018,-6.0,okay
47,Fake It So Real,Documentary,NR,2012,-42.0,worst
48,Wind,Action & Adventure,PG-13,1992,32.0,best
49,The Ritz,Art House & International,R,1976,25.0,best
50,Attenberg,Art House & International,NR,2012,-25.0,worst
51,Deadpool,Action & Adventure,R,2016,5.0,good
52,Willow,Action & Adventure,PG,1988,29.0,best
53,Mighty Fine,Comedy,R,2012,32.0,best
54,Altiplano (Fragments of Grace),Art House & International,NR,2010,1.0,okay
55,Joshua,Drama,G,2002,54.0,best
56,Fight Church,Documentary,NR,2014,-36.0,worst
57,The Wolf of Wall Street,Drama,R,2013,3.0,good
58,Chuck,Drama,R,2017,-17.0,bad
59,Fall to Grace,Drama,NR,2006,-36.0,worst
60,Searching for Sugar Man,Documentary,PG-13,2012,-2.0,okay
61,Extraordinary Stories,Classics,NR,2011,-4.0,okay
62,You Might as Well Live,Comedy,R,2009,-10.0,bad
63,Big Significant Things,Comedy,NR,2015,23.0,best
64,Donovan's Reef,Action & Adventure,NR,1963,22.0,best
65,Butter,Comedy,R,2012,10.0,good
66,The Hillside Strangler,Drama,R,2004,17.0,best
67,Daredevil,Action & Adventure,PG-13,2003,-9.0,bad
68,Kissed,Drama,R,1997,-3.0,okay
69,The Cat's Meow,Comedy,PG-13,2001,-24.0,worst
70,Crush,Comedy,R,2002,22.0,best
71,Drumline,Comedy,PG-13,2002,-12.0,bad
72,Nathalie,Art House & International,NR,2003,-17.0,bad
73,Curse of the Golden Flower,Action & Adventure,R,2006,0.0,okay
74,Meeting Resistance,Documentary,NR,2007,-35.0,worst
75,The Accidental Tourist,Comedy,PG,1988,-21.0,worst
76,Die Geduld der Rosa Luxemburg,Art House & International,NR,1986,-49.0,worst
77,Leto,Drama,NR,2019,4.0,good
78,A Dark Place (Steel Country),Drama,R,2019,27.0,best
79,National Lampoon Presents The Beach Party at the Threshold of Hell,Comedy,R,2006,-22.0,worst
80,"Dude, Where's the Party?",Comedy,PG-13,2003,-7.0,okay
