id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
0,0,/m/grave_encounters,Grave Encounters,Horror,NR,2011,64.0,49,15.0,2,1,6,4,1,2,no-one should,-15.0,bad
1,2,/m/keeping_up_with_the_joneses,Keeping Up With The Joneses,Comedy,PG-13,2016,19.0,37,18.0,0,0,1,3,1,0,no-one should,18.0,best
2,4,/m/division_19,Division 19,Drama,NR,2019,8.0,69,61.0,0,2,8,6,6,0,no-one should,61.0,best
3,6,/m/water_for_elephants,Water for Elephants,Drama,PG-13,2011,60.0,70,10.0,1,2,6,7,1,2,no-one should,10.0,good
4,8,/m/michael_h_profession_director,Michael H. Profession: Director,Documentary,NR,2013,91.0,65,26.0,4,2,9,6,2,8,critic dominant - risky,-26.0,worst
5,10,/m/tumhari_sulu,Tumhari Sulu,Art House & International,NR,2017,86.0,69,17.0,3,2,8,6,1,6,no-one should,-17.0,bad
6,11,/m/nuts,Nuts,Drama,R,1987,35.0,72,37.0,0,3,3,7,3,0,no-one should,37.0,best
7,12,/m/strange_nature,Strange Nature,Mystery & Suspense,NR,2018,43.0,58,15.0,1,1,4,5,1,1,no-one should,15.0,good
8,13,/m/death_by_china,Death by China,Documentary,NR,2012,33.0,72,39.0,0,3,3,7,3,0,no-one should,39.0,best
9,14,/m/styx_2018,Styx,Drama,NR,2019,94.0,68,26.0,4,2,9,6,2,8,critic dominant - risky,-26.0,worst
10,15,/m/mrs_palfrey_at_the_claremont,Mrs. Palfrey at the Claremont,Comedy,G,2005,70.0,82,12.0,2,3,7,8,1,6,no-one should,12.0,good
11,16,/m/1053613-pickpocket,Pickpocket,Art House & International,NR,1959,97.0,86,11.0,4,4,9,8,1,16,universal,-11.0,bad
12,17,/m/el_topo,El Topo,Art House & International,NR,1970,78.0,84,6.0,2,4,7,8,6,8,peanut dominant - risky,6.0,good
13,18,/m/yol,Yol (The Way),Art House & International,PG,1982,73.0,95,22.0,2,4,7,9,2,8,peanut dominant - risky,22.0,best
14,19,/m/bad_boys_ii,Bad Boys II,Action & Adventure,R,2003,23.0,78,55.0,0,3,2,7,5,0,no-one should,55.0,best
15,21,/m/kaleidoscope_2017,Kaleidoscope,Drama,NR,2017,62.0,38,24.0,2,0,6,3,2,0,no-one should,-24.0,worst
16,22,/m/hwal_2005,Hwal (The Bow),Art House & International,NR,2007,86.0,78,8.0,3,3,8,7,8,9,no-one should,-8.0,bad
17,23,/m/felicias_journey,Felicia's Journey,Drama,PG-13,1999,88.0,71,17.0,3,2,8,7,1,6,no-one should,-17.0,bad
18,24,/m/1178221-final_season,The Final Season,Art House & International,PG,2007,26.0,68,42.0,0,2,2,6,4,0,no-one should,42.0,best
19,25,/m/come_see_the_paradise,Come See the Paradise,Drama,R,1990,64.0,74,10.0,2,3,6,7,1,6,no-one should,10.0,good
20,26,/m/the_red_tent,The Red Tent,Action & Adventure,G,1971,88.0,66,22.0,3,2,8,6,2,6,no-one should,-22.0,worst
21,27,/m/black_rose_2017,Black Rose,Action & Adventure,NR,2017,13.0,17,4.0,0,0,1,1,4,0,no-one should,4.0,good
22,28,/m/stealing_home,Stealing Home,Drama,PG-13,1988,20.0,78,58.0,0,3,2,7,5,0,no-one should,58.0,best
23,30,/m/visiting_hours,Visiting Hours,Horror,R,1982,15.0,24,9.0,0,0,1,2,9,0,no-one should,9.0,good
24,31,/m/tokyo_ga,Tokyo-Ga,Art House & International,NR,2003,60.0,78,18.0,1,3,6,7,1,3,no-one should,18.0,best
25,32,/m/fissures,Fissures (Écoute le temps),Art House & International,NR,2006,75.0,40,35.0,2,0,7,4,3,0,no-one should,-35.0,worst
26,33,/m/run_the_race,Run the Race,Drama,PG,2019,40.0,84,44.0,1,4,4,8,4,4,peanut dominant - risky,44.0,best
27,34,/m/lord-jim,Lord Jim,Action & Adventure,NR,1965,57.0,57,0.0,1,1,5,5,0,1,no-one should,0.0,okay
28,41,/m/forget_paris,Forget Paris,Comedy,PG-13,1995,50.0,56,6.0,1,1,5,5,6,1,no-one should,6.0,good
29,42,/m/mystic_india,Mystic India,Art House & International,NR,2003,86.0,76,10.0,3,3,8,7,1,9,no-one should,-10.0,bad
30,46,/m/eddie_and_the_cruisers,Eddie and the Cruisers,Cult Movies,PG,1983,38.0,73,35.0,0,3,3,7,3,0,no-one should,35.0,best
31,47,/m/red_cliff,Red Cliff (Chi Bi),Action & Adventure,R,2009,91.0,78,13.0,4,3,9,7,1,12,toss up,-13.0,bad
32,49,/m/eyes_without_a_face_1962,Eyes Without a Face,Art House & International,NR,1962,98.0,87,11.0,4,4,9,8,1,16,universal,-11.0,bad
33,50,/m/innocent_voices,Innocent Voices (Voces inocentes),Art House & International,R,2005,71.0,93,22.0,2,4,7,9,2,8,peanut dominant - risky,22.0,best
34,54,/m/clan_of_the_cave_bear,The Clan of the Cave Bear,Action & Adventure,R,1986,10.0,47,37.0,0,1,1,4,3,0,no-one should,37.0,best
35,55,/m/war-2007,War (Rogue Assassin),Action & Adventure,R,2007,14.0,51,37.0,0,1,1,5,3,0,no-one should,37.0,best
36,56,/m/johnny_got_his_gun,Johnny Got His Gun,Classics,PG,1971,67.0,87,20.0,2,4,6,8,2,8,peanut dominant - risky,20.0,best
37,57,/m/smoke_signals,Smoke Signals,Comedy,PG-13,1998,83.0,82,1.0,3,3,8,8,1,9,no-one should,-1.0,okay
38,58,/m/gates,The Gates,Documentary,NR,2008,83.0,60,23.0,3,1,8,6,2,3,no-one should,-23.0,worst
39,59,/m/fast_girls_2012,Fast Girls,Art House & International,G,2012,83.0,59,24.0,3,1,8,5,2,3,no-one should,-24.0,worst
40,61,/m/ghostbox_cowboy,Ghostbox Cowboy,Comedy,NR,2018,91.0,50,41.0,4,1,9,5,4,4,critic dominant - risky,-41.0,worst
41,62,/m/blame_it_on_fidel,Blame It on Fidel (La Faute a Fidel),Drama,NR,2006,93.0,91,2.0,4,4,9,9,2,16,universal,-2.0,okay
42,65,/m/mubarakan,Mubarakan,Comedy,PG-13,2017,33.0,53,20.0,0,1,3,5,2,0,no-one should,20.0,best
43,69,/m/priceless_2016,Priceless,Drama,PG-13,2016,40.0,77,37.0,1,3,4,7,3,3,no-one should,37.0,best
44,70,/m/lola_1961,Lola,Art House & International,PG,1961,100.0,80,20.0,4,3,1,8,2,12,toss up,-20.0,worst
45,72,/m/amazing_transparent_man,The Amazing Transparent Man,Classics,NR,1960,40.0,16,24.0,1,0,4,1,2,0,no-one should,-24.0,worst
46,73,/m/fanney_khan,Fanney Khan,Drama,NR,2018,56.0,50,6.0,1,1,5,5,6,1,no-one should,-6.0,okay
47,74,/m/fake_it_so_real_2011,Fake It So Real,Documentary,NR,2012,91.0,49,42.0,4,1,9,4,4,4,critic dominant - risky,-42.0,worst
48,75,/m/1040484-wind,Wind,Action & Adventure,PG-13,1992,50.0,82,32.0,1,3,5,8,3,3,no-one should,32.0,best
49,76,/m/ritz,The Ritz,Art House & International,R,1976,56.0,81,25.0,1,3,5,8,2,3,no-one should,25.0,best
50,77,/m/attenberg_2010,Attenberg,Art House & International,NR,2012,77.0,52,25.0,2,1,7,5,2,2,no-one should,-25.0,worst
51,81,/m/deadpool,Deadpool,Action & Adventure,R,2016,85.0,90,5.0,3,4,8,9,5,12,toss up,5.0,good
52,84,/m/willow,Willow,Action & Adventure,PG,1988,50.0,79,29.0,1,3,5,7,2,3,no-one should,29.0,best
53,85,/m/mighty_fine,Mighty Fine,Comedy,R,2012,19.0,51,32.0,0,1,1,5,3,0,no-one should,32.0,best
54,86,/m/altiplano,Altiplano (Fragments of Grace),Art House & International,NR,2010,70.0,71,1.0,2,2,7,7,1,4,no-one should,1.0,okay
55,90,/m/1113658-joshua,Joshua,Drama,G,2002,22.0,76,54.0,0,3,2,7,5,0,no-one should,54.0,best
56,91,/m/fight_church,Fight Church,Documentary,NR,2014,100.0,64,36.0,4,2,1,6,3,8,critic dominant - risky,-36.0,worst
57,92,/m/the_wolf_of_wall_street_2013,The Wolf of Wall Street,Drama,R,2013,79.0,82,3.0,3,3,7,8,3,9,no-one should,3.0,good
58,93,/m/chuck,Chuck,Drama,R,2017,80.0,63,17.0,3,2,8,6,1,6,no-one should,-17.0,bad
59,94,/m/fall_to_grace,Fall to Grace,Drama,NR,2006,56.0,20,36.0,1,0,5,2,3,0,no-one should,-36.0,worst
