,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/trial_by_fire,/m/trial_by_fire,Trial by Fire,"[""Drama""]",R,2019,61,73
/m/lion_roars,/m/lion_roars,Ngo ga yau yat chek hiu dung see (The Lion Roars),"[""Art House & International"",""Comedy""]",NR,2002,null,58
/m/that_was_thenthis_is_now,/m/that_was_thenthis_is_now,That Was Then...This Is Now,"[""Drama""]",R,1985,null,59
/m/10000292-rat,/m/10000292-rat,Rat,"[""Comedy"",""Kids & Family""]",PG,2000,null,58
/m/southwest_of_salem_the_story_of_the_san_antonio_four,/m/southwest_of_salem_the_story_of_the_san_antonio_four,Southwest of Salem: The Story of the San Antonio Four,"[""Documentary""]",NR,2016,100,54
/m/the_girl_next_door_1999,/m/the_girl_next_door_1999,The Girl Next Door,"[""Documentary"",""Special Interest"",""Television""]",NR,2000,91,57
/m/1009989-hotel,/m/1009989-hotel,Hotel,"[""Classics"",""Drama""]",G,1967,100,33
/m/baghdad-er,/m/baghdad-er,Baghdad ER,"[""Documentary"",""Special Interest"",""Television""]",NR,2006,null,86
/m/kung_fu_panda,/m/kung_fu_panda,Kung Fu Panda,"[""Action & Adventure"",""Animation"",""Kids & Family""]",PG,2008,87,82
/m/1109645-brotherhood,/m/1109645-brotherhood,The Brotherhood,"[""Action & Adventure"",""Horror""]",PG-13,2001,null,23
/m/love_kennedy,/m/love_kennedy,"Love, Kennedy","[""Drama""]",PG,2017,null,84
/m/last_hard_men,/m/last_hard_men,The Last Hard Men,"[""Action & Adventure"",""Western""]",R,1976,null,51
/m/the_killing_floor,/m/the_killing_floor,The Killing Floor,"[""Horror"",""Mystery & Suspense""]",R,2007,null,32
/m/1145035-stone_cold,/m/1145035-stone_cold,Stone Cold,"[""Action & Adventure"",""Drama"",""Mystery & Suspense"",""Television""]",R,2005,null,68
/m/the_prince_and_me_2,/m/the_prince_and_me_2,The Prince & Me 2,"[""Comedy"",""Romance""]",PG,2005,null,30
/m/the_end_of_time,/m/the_end_of_time,The End Of Time,"[""Documentary"",""Special Interest""]",PG,2013,78,41
/m/solstorm,/m/solstorm,Solstorm,"[""Art House & International"",""Mystery & Suspense""]",NR,2007,null,30
/m/bending_the_arc,/m/bending_the_arc,Bending the Arc,"[""Documentary""]",NR,2017,100,65
/m/rain_without_thunder,/m/rain_without_thunder,Rain Without Thunder,"[""Drama""]",PG-13,1992,50,64
/m/kaalakaandi,/m/kaalakaandi,Kaalakaandi,"[""Comedy""]",NR,2018,38,46
/m/keys_to_tulsa,/m/keys_to_tulsa,Keys to Tulsa,"[""Drama"",""Mystery & Suspense""]",R,1996,10,22
/m/the_standbys_2012,/m/the_standbys_2012,The Standbys,"[""Documentary"",""Musical & Performing Arts""]",NR,2014,80,83
