,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/grave_encounters,/m/grave_encounters,Grave Encounters,"[""Horror""]",NR,2011,64,49
/m/collier-co,/m/collier-co,Collier & Co.,"[""Action & Adventure"",""Comedy"",""Kids & Family""]",PG,2006,null,74
/m/keeping_up_with_the_joneses,/m/keeping_up_with_the_joneses,Keeping Up With The Joneses,"[""Comedy""]",PG-13,2016,19,37
/m/son_of_fury,/m/son_of_fury,Son of Fury: The Story of Benjamin Blake,"[""Action & Adventure"",""Classics"",""Drama""]",NR,1942,null,61
/m/division_19,/m/division_19,Division 19,"[""Drama"",""Mystery & Suspense"",""Science Fiction & Fantasy""]",NR,2019,8,69
/m/devils_den,/m/devils_den,Devil's Den,"[""Action & Adventure"",""Horror""]",NR,2007,null,24
/m/water_for_elephants,/m/water_for_elephants,Water for Elephants,"[""Drama""]",PG-13,2011,60,70
/m/bonnie_scotland,/m/bonnie_scotland,Bonnie Scotland (Heroes of the Regiment),"[""Classics"",""Comedy""]",NR,1935,null,63
/m/michael_h_profession_director,/m/michael_h_profession_director,Michael H. Profession: Director,"[""Documentary"",""Special Interest""]",NR,2013,91,65
/m/no_name_on_the_bullet,/m/no_name_on_the_bullet,No Name on the Bullet,"[""Action & Adventure"",""Classics"",""Western""]",NR,1959,null,74
/m/tumhari_sulu,/m/tumhari_sulu,Tumhari Sulu,"[""Art House & International"",""Comedy"",""Drama""]",NR,2017,86,69
/m/nuts,/m/nuts,Nuts,"[""Drama""]",R,1987,35,72
/m/strange_nature,/m/strange_nature,Strange Nature,"[""Mystery & Suspense""]",NR,2018,43,58
/m/death_by_china,/m/death_by_china,Death by China,"[""Documentary""]",NR,2012,33,72
/m/styx_2018,/m/styx_2018,Styx,"[""Drama""]",NR,2019,94,68
/m/mrs_palfrey_at_the_claremont,/m/mrs_palfrey_at_the_claremont,Mrs. Palfrey at the Claremont,"[""Comedy"",""Drama""]",G,2005,70,82
/m/1053613-pickpocket,/m/1053613-pickpocket,Pickpocket,"[""Art House & International"",""Drama""]",NR,1959,97,86
/m/el_topo,/m/el_topo,El Topo,"[""Art House & International"",""Drama"",""Special Interest""]",NR,1970,78,84
/m/yol,/m/yol,Yol (The Way),"[""Art House & International"",""Drama"",""Romance""]",PG,1982,73,95
/m/bad_boys_ii,/m/bad_boys_ii,Bad Boys II,"[""Action & Adventure"",""Comedy"",""Mystery & Suspense""]",R,2003,23,78
/m/american-hot-wax,/m/american-hot-wax,American Hot Wax,"[""Comedy"",""Drama"",""Musical & Performing Arts""]",R,1978,null,84
/m/kaleidoscope_2017,/m/kaleidoscope_2017,Kaleidoscope,"[""Drama"",""Mystery & Suspense""]",NR,2017,62,38
/m/hwal_2005,/m/hwal_2005,Hwal (The Bow),"[""Art House & International"",""Drama"",""Romance""]",NR,2007,86,78
/m/felicias_journey,/m/felicias_journey,Felicia's Journey,"[""Drama"",""Mystery & Suspense""]",PG-13,1999,88,71
/m/1178221-final_season,/m/1178221-final_season,The Final Season,"[""Art House & International"",""Drama""]",PG,2007,26,68
/m/come_see_the_paradise,/m/come_see_the_paradise,Come See the Paradise,"[""Drama"",""Romance""]",R,1990,64,74
/m/the_red_tent,/m/the_red_tent,The Red Tent,"[""Action & Adventure"",""Art House & International"",""Classics"",""Drama""]",G,1971,88,66
/m/black_rose_2017,/m/black_rose_2017,Black Rose,"[""Action & Adventure"",""Mystery & Suspense""]",NR,2017,13,17
/m/stealing_home,/m/stealing_home,Stealing Home,"[""Drama""]",PG-13,1988,20,78
/m/1015260-north_star,/m/1015260-north_star,The North Star (Armored Attack),"[""Animation"",""Classics"",""Drama""]",NR,1943,null,28
/m/visiting_hours,/m/visiting_hours,Visiting Hours,"[""Horror"",""Mystery & Suspense""]",R,1982,15,24
/m/tokyo_ga,/m/tokyo_ga,Tokyo-Ga,"[""Art House & International"",""Documentary"",""Drama"",""Special Interest""]",NR,2003,60,78
/m/fissures,/m/fissures,Fissures (Écoute le temps),"[""Art House & International"",""Drama"",""Mystery & Suspense""]",NR,2006,75,40
/m/run_the_race,/m/run_the_race,Run the Race,"[""Drama"",""Sports & Fitness""]",PG,2019,40,84
/m/lord-jim,/m/lord-jim,Lord Jim,"[""Action & Adventure"",""Art House & International"",""Classics"",""Drama""]",NR,1965,57,57
/m/101_rent_boys,/m/101_rent_boys,101 Rent Boys,"[""Art House & International"",""Documentary"",""Special Interest""]",NR,2000,null,32
/m/every_man_for_himself_1980,/m/every_man_for_himself_1980,Every Man for Himself (Sauve qui peut (la vie)),"[""Drama""]",NR,1980,null,66
/m/1042719-fathers_and_sons,/m/1042719-fathers_and_sons,Fathers & Sons,"[""Drama"",""Mystery & Suspense""]",R,1993,null,20
/m/so-long-at-the-fair,/m/so-long-at-the-fair,So Long at the Fair,"[""Drama"",""Mystery & Suspense""]",NR,1951,null,68
/m/marco_polo,/m/marco_polo,Marco Polo,"[""Drama"",""Television""]",NR,2007,null,43
/m/kings_faith,/m/kings_faith,King's Faith,"[""Drama"",""Faith & Spirituality""]",PG-13,2013,null,68
/m/forget_paris,/m/forget_paris,Forget Paris,"[""Comedy"",""Drama"",""Romance""]",PG-13,1995,50,56
/m/mystic_india,/m/mystic_india,Mystic India,"[""Art House & International"",""Documentary"",""Special Interest""]",NR,2003,86,76
/m/1096685-detour,/m/1096685-detour,Detour,"[""Drama"",""Mystery & Suspense""]",R,1998,null,14
/m/case_of_the_scorpions_tail,/m/case_of_the_scorpions_tail,La coda dello scorpione (Case of the Scorpion's Tail),"[""Art House & International"",""Horror"",""Mystery & Suspense""]",NR,1971,null,69
/m/dawn_anna,/m/dawn_anna,Dawn Anna,"[""Drama"",""Television""]",G,2005,null,71
